CustomerID,CustomerName,Gender,Age,City,State,Region,JoinDate,Segment
CUST00001,Advik Maharaj,Male,38,Mumbai,Maharashtra,West,2020-06-20,Retail
CUST00002,Charan Chahal,Male,64,Surat,Gujarat,West,2022-07-17,Premium
CUST00003,Alexander Chander,Male,48,Bhopal,Madhya Pradesh,Central,2020-04-24,Retail
CUST00004,Hardik Saini,Male,35,Lucknow,Uttar Pradesh,North,2020-04-27,Retail
CUST00005,Aarush Dutta,Male,33,Indore,Madhya Pradesh,Central,2023-03-10,Premium
CUST00006,Maya Dugal,Female,49,Chandigarh,Punjab,North,2020-04-16,Retail
CUST00007,Charan Chanda,Male,65,Jaipur,Rajasthan,North,2021-04-12,Retail
CUST00008,Pooja Lalla,Female,34,Delhi,Delhi,North,2023-11-04,Corporate
CUST00009,Diya Radhakrishnan,Female,26,Surat,Gujarat,West,2019-06-22,Retail
CUST00010,Radhika Handa,Female,59,Kochi,Kerala,South,2023-03-24,Retail
CUST00011,Ishaan Mann,Male,55,Bhubaneswar,Odisha,East,2024-11-28,Retail
CUST00012,Daksha Rai,Female,56,Ahmedabad,Gujarat,West,2020-09-01,Retail
CUST00013,Gautami Prabhakar,Female,33,Bhopal,Madhya Pradesh,Central,2021-02-17,Premium
CUST00014,Balendra Garg,Male,39,Chandigarh,Punjab,North,2022-03-16,Corporate
CUST00015,Finn Shere,Male,45,Surat,Gujarat,West,2021-04-11,Retail
CUST00016,Omaja Bhalla,Female,44,Jaipur,Rajasthan,North,2020-05-16,Retail
CUST00017,Nisha Rattan,Female,59,Ahmedabad,Gujarat,West,2020-08-09,Retail
CUST00018,Nakul Kala,Male,50,Jaipur,Rajasthan,North,2022-12-07,Retail
CUST00019,Veer Dhar,Male,24,Hyderabad,Telangana,South,2020-08-03,Retail
CUST00020,Karan Sangha,Male,46,Hyderabad,Telangana,South,2024-05-21,Retail
CUST00021,Pratyush Kanda,Male,41,Bhopal,Madhya Pradesh,Central,2024-12-25,Retail
CUST00022,Yashoda Tak,Female,62,Kolkata,West Bengal,East,2019-07-19,Retail
CUST00023,Dayamai Dua,Female,36,Delhi,Delhi,North,2022-10-06,Premium
CUST00024,Bhavika Rajan,Female,48,Bhopal,Madhya Pradesh,Central,2021-04-16,Premium
CUST00025,Zarna Krishnamurthy,Female,35,Kochi,Kerala,South,2024-10-28,Corporate
CUST00026,Dakshesh Yadav,Male,52,Nagpur,Maharashtra,West,2023-07-04,Retail
CUST00027,Daksh Memon,Male,30,Surat,Gujarat,West,2021-08-10,Retail
CUST00028,Aadhya Lall,Female,25,Raipur,Chhattisgarh,Central,2024-10-30,Retail
CUST00029,Yashica Cherian,Female,37,Nagpur,Maharashtra,West,2024-03-22,Corporate
CUST00030,Zehaan Issac,Male,64,Surat,Gujarat,West,2019-12-01,Premium
CUST00031,Zilmil Acharya,Female,28,Hyderabad,Telangana,South,2022-08-05,Retail
CUST00032,Aditya Choudhury,Male,21,Bhubaneswar,Odisha,East,2024-07-28,Corporate
CUST00033,Kashvi Bhardwaj,Female,32,Nagpur,Maharashtra,West,2020-06-11,Retail
CUST00034,Brijesh Sunder,Male,61,Chennai,Tamil Nadu,South,2023-11-23,Retail
CUST00035,Devansh Soman,Male,44,Delhi,Delhi,North,2024-09-05,Premium
CUST00036,Kevin Wable,Male,41,Raipur,Chhattisgarh,Central,2024-03-26,Retail
CUST00037,Hitesh Zacharia,Male,40,Kochi,Kerala,South,2023-07-13,Retail
CUST00038,Nachiket Rastogi,Male,26,Bhopal,Madhya Pradesh,Central,2024-12-20,Retail
CUST00039,Urvashi Varughese,Female,55,Ahmedabad,Gujarat,West,2021-09-16,Premium
CUST00040,Isaiah Bhatt,Male,56,Guwahati,Assam,East,2021-01-10,Retail
CUST00041,Januja Amble,Female,55,Lucknow,Uttar Pradesh,North,2019-06-05,Premium
CUST00042,Ishwar Bir,Male,46,Chennai,Tamil Nadu,South,2024-06-06,Corporate
CUST00043,Bimala Varkey,Female,54,Bhubaneswar,Odisha,East,2020-06-05,Retail
CUST00044,Hredhaan Zacharia,Male,25,Chandigarh,Punjab,North,2019-10-17,Retail
CUST00045,Jairaj Solanki,Male,35,Bhopal,Madhya Pradesh,Central,2023-11-05,Retail
CUST00046,Champak Chatterjee,Male,25,Chandigarh,Punjab,North,2022-12-14,Premium
CUST00047,Udyati Roy,Female,53,Ahmedabad,Gujarat,West,2021-10-20,Retail
CUST00048,Chavvi Bhat,Female,55,Lucknow,Uttar Pradesh,North,2021-06-01,Retail
CUST00049,Darika Kothari,Female,51,Chandigarh,Punjab,North,2020-02-24,Premium
CUST00050,Ekaraj Sami,Male,27,Surat,Gujarat,West,2020-02-07,Retail
